Site,Year,Day,Month,Hour,Minutes,Value,Prediction,Band,NO_Threshold,City_London_Site
CT3,2018,17,7,0,0,2.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,0,30,1.8,2.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,1,30,2.0,2.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,2,0,1.7,2.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,3,0,1.2,2.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,5,0,5.9,5.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,5,30,4.9,8.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,7,0,20.8,14.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,8,0,15.1,18.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,10,0,14.7,19.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,11,0,11.1,10.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,12,0,7.4,5.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,13,30,6.0,8.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,15,30,5.2,7.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,17,0,2.8,5.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,18,0,2.4,2.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,20,0,1.9,1.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,20,30,1.0,1.0,Low,0-200,Sir John Cass School
CT3,2018,17,7,23,30,1.3,0.0,Low,0-200,Sir John Cass School
CT3,2018,18,7,1,30,1.9,1.0,Low,0-200,Sir John Cass School
CT3,2018,18,7,2,0,1.5,2.0,Low,0-200,Sir John Cass School
CT3,2018,18,7,5,0,3.7,8.0,Low,0-200,Sir John Cass School
CT3,2018,18,7,6,30,31.1,15.0,Low,0-200,Sir John Cass School
CT3,2018,18,7,9,0,9.3,22.0,Low,0-200,Sir John Cass School
CT3,2018,18,7,11,0,7.2,8.0,Low,0-200,Sir John Cass School
CT3,2018,18,7,11,30,5.4,7.0,Low,0-200,Sir John Cass School
CT3,2018,18,7,12,0,7.9,7.0,Low,0-200,Sir John Cass School
CT3,2018,18,7,14,30,4.7,4.0,Low,0-200,Sir John Cass School
CT3,2018,18,7,15,30,3.2,4.0,Low,0-200,Sir John Cass School
CT3,2018,18,7,17,0,2.5,3.0,Low,0-200,Sir John Cass School
CT3,2018,18,7,22,30,2.6,2.0,Low,0-200,Sir John Cass School
CT3,2018,18,7,23,0,3.0,1.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,0,30,1.8,3.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,2,0,1.9,3.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,4,0,9.2,3.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,4,30,9.3,9.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,5,30,16.0,25.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,6,30,13.3,21.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,8,0,15.1,13.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,10,0,7.6,10.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,10,30,10.3,8.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,14,30,4.3,3.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,16,0,2.2,4.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,18,30,6.3,5.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,19,0,3.8,5.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,19,30,4.6,3.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,21,30,2.4,3.0,Low,0-200,Sir John Cass School
CT3,2018,19,7,23,0,2.0,1.0,Low,0-200,Sir John Cass School
CT3,2018,20,7,0,0,0.7,1.0,Low,0-200,Sir John Cass School
CT3,2018,20,7,0,30,1.4,1.0,Low,0-200,Sir John Cass School
CT3,2018,20,7,3,0,7.8,6.0,Low,0-200,Sir John Cass School
CT3,2018,20,7,5,0,13.8,21.0,Low,0-200,Sir John Cass School
CT3,2018,20,7,9,30,10.2,20.0,Low,0-200,Sir John Cass School
CT3,2018,20,7,11,30,4.2,5.0,Low,0-200,Sir John Cass School
CT3,2018,20,7,16,0,4.9,4.0,Low,0-200,Sir John Cass School
CT3,2018,20,7,18,30,2.6,3.0,Low,0-200,Sir John Cass School
CT3,2018,20,7,19,0,1.5,2.0,Low,0-200,Sir John Cass School
CT3,2018,20,7,21,0,5.7,3.0,Low,0-200,Sir John Cass School
CT3,2018,20,7,22,30,2.2,2.0,Low,0-200,Sir John Cass School
CT3,2018,20,7,23,0,1.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,0,0,1.5,1.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,3,0,1.8,2.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,3,30,1.3,2.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,4,30,3.3,2.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,6,30,11.6,17.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,8,30,9.2,18.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,9,30,8.8,7.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,11,30,7.7,6.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,15,30,3.0,4.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,16,0,3.7,4.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,18,0,2.6,2.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,21,0,2.2,2.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,22,0,2.1,5.0,Low,0-200,Sir John Cass School
CT3,2018,21,7,23,0,2.5,1.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,1,30,2.1,3.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,3,30,1.9,2.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,4,0,3.2,2.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,5,0,3.2,5.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,5,30,3.6,5.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,7,0,8.3,7.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,10,0,6.9,6.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,11,0,5.4,6.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,12,0,6.5,6.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,12,30,4.7,6.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,15,30,3.9,4.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,16,0,4.0,4.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,17,30,2.8,4.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,18,0,2.7,3.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,19,30,3.9,2.0,Low,0-200,Sir John Cass School
CT3,2018,22,7,21,30,1.6,2.0,Low,0-200,Sir John Cass School
CT3,2018,23,7,3,0,2.0,4.0,Low,0-200,Sir John Cass School
CT3,2018,23,7,4,30,3.4,4.0,Low,0-200,Sir John Cass School
CT3,2018,23,7,7,0,21.9,36.0,Low,0-200,Sir John Cass School
CT3,2018,23,7,9,0,16.4,27.0,Low,0-200,Sir John Cass School
CT3,2018,23,7,10,0,8.2,17.0,Low,0-200,Sir John Cass School
CT3,2018,23,7,11,30,6.8,15.0,Low,0-200,Sir John Cass School
CT3,2018,23,7,15,0,5.4,4.0,Low,0-200,Sir John Cass School
CT3,2018,23,7,17,0,3.2,3.0,Low,0-200,Sir John Cass School
CT3,2018,23,7,20,0,4.1,3.0,Low,0-200,Sir John Cass School
CT3,2018,23,7,23,30,1.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,0,30,1.7,2.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,2,30,1.3,2.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,3,30,3.0,2.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,4,0,2.6,4.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,4,30,4.2,3.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,5,30,8.2,6.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,7,0,20.5,22.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,8,30,22.0,29.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,9,0,24.6,24.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,13,30,5.7,4.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,14,30,2.0,4.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,19,0,2.2,1.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,20,0,2.2,2.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,20,30,2.3,2.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,21,0,2.3,2.0,Low,0-200,Sir John Cass School
CT3,2018,24,7,21,30,1.9,2.0,Low,0-200,Sir John Cass School
CT3,2018,25,7,4,30,7.0,9.0,Low,0-200,Sir John Cass School
CT3,2018,25,7,5,0,9.6,11.0,Low,0-200,Sir John Cass School
CT3,2018,25,7,5,30,12.1,13.0,Low,0-200,Sir John Cass School
CT3,2018,25,7,7,30,31.9,21.0,Low,0-200,Sir John Cass School
CT3,2018,25,7,12,30,10.7,15.0,Low,0-200,Sir John Cass School
CT3,2018,25,7,17,0,2.2,3.0,Low,0-200,Sir John Cass School
CT3,2018,25,7,18,30,2.4,2.0,Low,0-200,Sir John Cass School
CT3,2018,25,7,19,0,1.8,2.0,Low,0-200,Sir John Cass School
CT3,2018,25,7,22,0,3.3,3.0,Low,0-200,Sir John Cass School
CT3,2018,25,7,22,30,3.3,4.0,Low,0-200,Sir John Cass School
CT3,2018,25,7,23,30,5.2,2.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,0,0,3.6,5.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,0,30,2.5,4.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,2,0,8.4,6.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,5,0,37.2,20.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,5,30,26.5,37.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,6,0,35.1,39.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,9,30,12.9,26.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,10,0,7.9,17.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,10,30,5.7,9.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,11,0,5.7,7.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,13,0,3.9,4.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,14,30,5.0,3.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,15,0,4.5,5.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,19,30,1.9,2.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,21,30,2.0,2.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,22,0,1.9,2.0,Low,0-200,Sir John Cass School
CT3,2018,26,7,22,30,1.3,2.0,Low,0-200,Sir John Cass School
CT3,2018,27,7,2,30,1.6,2.0,Low,0-200,Sir John Cass School
CT3,2018,27,7,4,30,5.8,5.0,Low,0-200,Sir John Cass School
CT3,2018,27,7,8,0,42.0,31.0,Low,0-200,Sir John Cass School
CT3,2018,27,7,12,0,6.5,7.0,Low,0-200,Sir John Cass School
CT3,2018,27,7,12,30,3.7,7.0,Low,0-200,Sir John Cass School
CT3,2018,27,7,14,30,4.3,3.0,Low,0-200,Sir John Cass School
CT3,2018,27,7,21,0,5.6,7.0,Low,0-200,Sir John Cass School
CT3,2018,27,7,23,0,2.2,1.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,0,30,0.9,1.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,1,30,1.9,2.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,3,30,1.4,2.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,5,0,3.6,4.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,5,30,6.5,5.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,6,30,2.2,5.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,8,0,5.5,5.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,8,30,3.4,7.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,9,30,3.8,4.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,11,30,7.5,7.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,12,0,7.8,7.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,13,0,8.1,6.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,16,0,1.6,4.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,17,0,1.4,2.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,19,0,2.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,22,0,1.6,2.0,Low,0-200,Sir John Cass School
CT3,2018,28,7,22,30,1.2,2.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,0,0,1.3,1.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,1,30,1.5,1.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,2,30,1.3,2.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,3,0,0.8,2.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,3,30,1.0,2.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,8,0,7.3,7.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,10,30,7.3,7.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,12,0,3.1,7.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,16,0,2.1,3.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,18,30,3.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,20,0,2.4,3.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,21,0,2.2,3.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,22,30,2.0,2.0,Low,0-200,Sir John Cass School
CT3,2018,29,7,23,0,1.5,1.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,3,0,1.2,2.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,4,0,2.0,2.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,4,30,2.3,2.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,7,0,19.5,20.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,8,30,25.3,26.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,10,0,15.6,21.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,11,0,14.7,14.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,14,0,10.7,6.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,15,0,7.9,9.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,15,30,8.0,7.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,16,0,5.6,7.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,16,30,4.5,7.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,17,0,3.2,5.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,19,0,1.7,2.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,20,30,7.9,5.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,21,30,3.0,5.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,22,0,3.5,3.0,Low,0-200,Sir John Cass School
CT3,2018,30,7,22,30,1.5,3.0,Low,0-200,Sir John Cass School
CT3,2018,31,7,2,0,1.0,2.0,Low,0-200,Sir John Cass School
CT3,2018,31,7,3,30,1.3,2.0,Low,0-200,Sir John Cass School
CT3,2018,31,7,8,30,27.9,13.0,Low,0-200,Sir John Cass School
CT3,2018,31,7,10,30,17.2,17.0,Low,0-200,Sir John Cass School
CT3,2018,31,7,11,0,11.6,19.0,Low,0-200,Sir John Cass School
CT3,2018,31,7,18,0,2.1,3.0,Low,0-200,Sir John Cass School
CT3,2018,31,7,18,30,0.7,2.0,Low,0-200,Sir John Cass School
CT3,2018,31,7,20,0,2.4,1.0,Low,0-200,Sir John Cass School
CT3,2018,31,7,21,0,0.7,2.0,Low,0-200,Sir John Cass School
CT3,2018,31,7,22,30,0.2,1.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,2,0,1.4,1.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,2,30,0.6,1.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,3,0,0.9,2.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,4,30,1.4,3.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,5,30,23.5,5.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,6,0,11.3,23.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,6,30,45.6,22.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,8,0,61.3,37.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,9,30,6.0,14.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,11,0,8.1,11.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,12,30,5.3,6.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,13,30,5.3,5.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,14,0,3.4,6.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,15,30,2.1,6.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,16,0,1.8,2.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,17,30,1.0,1.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,19,0,1.1,6.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,21,0,0.2,1.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,23,0,1.3,0.0,Low,0-200,Sir John Cass School
CT3,2018,1,8,23,30,0.9,0.0,Low,0-200,Sir John Cass School
CT3,2018,2,8,0,0,0.7,1.0,Low,0-200,Sir John Cass School
CT3,2018,2,8,2,0,0.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,2,8,2,30,0.6,1.0,Low,0-200,Sir John Cass School
CT3,2018,2,8,3,0,0.6,2.0,Low,0-200,Sir John Cass School
CT3,2018,2,8,5,30,24.2,11.0,Low,0-200,Sir John Cass School
CT3,2018,2,8,7,0,45.2,11.0,Low,0-200,Sir John Cass School
CT3,2018,2,8,8,30,9.5,22.0,Low,0-200,Sir John Cass School
CT3,2018,2,8,14,30,4.7,7.0,Low,0-200,Sir John Cass School
CT3,2018,2,8,15,0,5.0,5.0,Low,0-200,Sir John Cass School
CT3,2018,2,8,15,30,2.4,5.0,Low,0-200,Sir John Cass School
CT3,2018,2,8,17,30,3.7,2.0,Low,0-200,Sir John Cass School
CT3,2018,2,8,22,30,0.9,1.0,Low,0-200,Sir John Cass School
CT3,2018,3,8,0,0,4.4,5.0,Low,0-200,Sir John Cass School
CT3,2018,3,8,0,30,9.2,5.0,Low,0-200,Sir John Cass School
CT3,2018,3,8,7,30,26.5,29.0,Low,0-200,Sir John Cass School
CT3,2018,3,8,8,0,43.3,29.0,Low,0-200,Sir John Cass School
CT3,2018,3,8,8,30,13.3,41.0,Low,0-200,Sir John Cass School
CT3,2018,3,8,10,0,8.0,12.0,Low,0-200,Sir John Cass School
CT3,2018,3,8,11,30,8.9,7.0,Low,0-200,Sir John Cass School
CT3,2018,3,8,13,0,5.5,7.0,Low,0-200,Sir John Cass School
CT3,2018,3,8,13,30,4.5,6.0,Low,0-200,Sir John Cass School
CT3,2018,3,8,15,30,2.0,3.0,Low,0-200,Sir John Cass School
CT3,2018,3,8,17,0,3.9,2.0,Low,0-200,Sir John Cass School
CT3,2018,3,8,17,30,5.2,3.0,Low,0-200,Sir John Cass School
CT3,2018,3,8,19,30,3.9,2.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,1,30,4.9,7.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,2,30,3.2,6.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,3,30,1.3,2.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,4,30,2.5,6.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,5,30,5.6,9.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,7,30,4.6,8.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,9,30,6.2,8.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,10,30,7.7,5.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,13,0,5.0,4.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,16,30,3.9,4.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,18,30,1.3,6.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,19,0,1.3,2.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,20,0,1.3,1.0,Low,0-200,Sir John Cass School
CT3,2018,4,8,23,30,-0.2,0.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,1,0,0.5,1.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,2,0,-0.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,3,30,0.6,3.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,4,0,1.1,2.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,5,0,10.9,4.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,6,30,6.8,10.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,9,30,2.9,3.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,13,0,2.6,3.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,13,30,1.4,3.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,14,30,2.6,2.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,15,0,2.6,2.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,16,0,1.6,2.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,16,30,1.5,2.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,17,30,1.4,1.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,18,30,3.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,19,0,1.9,2.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,19,30,0.8,1.0,Low,0-200,Sir John Cass School
CT3,2018,5,8,20,0,1.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,0,0,0.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,0,30,-0.8,1.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,2,30,0.8,1.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,5,0,19.7,31.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,6,0,64.5,58.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,7,30,50.9,70.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,8,30,42.5,49.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,9,30,10.9,33.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,10,0,13.2,18.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,11,0,6.6,11.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,13,0,5.1,4.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,14,0,2.2,4.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,17,30,1.7,2.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,18,0,0.8,2.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,19,0,0.7,1.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,19,30,0.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,20,30,-0.2,1.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,21,0,0.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,22,0,0.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,6,8,22,30,0.3,1.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,0,0,0.0,1.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,0,30,-0.3,1.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,1,30,0.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,2,30,0.0,1.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,3,0,0.1,2.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,4,0,0.1,2.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,4,30,2.1,2.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,5,30,35.8,24.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,7,0,27.0,35.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,8,30,16.8,26.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,12,0,5.4,6.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,12,30,3.7,6.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,13,30,1.3,3.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,14,30,2.5,1.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,15,0,2.0,2.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,15,30,1.0,2.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,18,0,1.4,1.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,18,30,0.4,1.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,19,0,0.8,1.0,Low,0-200,Sir John Cass School
CT3,2018,7,8,22,0,0.4,1.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,3,0,0.8,2.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,4,30,2.3,3.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,6,0,4.5,5.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,6,30,5.4,7.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,7,30,13.4,13.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,8,30,9.9,12.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,9,0,13.7,9.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,9,30,8.5,12.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,11,30,5.5,5.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,12,0,5.5,6.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,13,30,3.5,5.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,14,0,3.4,4.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,17,0,1.4,2.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,17,30,2.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,18,0,0.6,2.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,19,0,0.6,1.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,20,0,0.2,1.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,21,0,0.3,1.0,Low,0-200,Sir John Cass School
CT3,2018,8,8,22,30,0.3,3.0,Low,0-200,Sir John Cass School
CT3,2018,9,8,0,0,-0.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,9,8,0,30,-0.1,1.0,Low,0-200,Sir John Cass School
CT3,2018,9,8,1,30,0.6,1.0,Low,0-200,Sir John Cass School
CT3,2018,9,8,2,0,0.4,1.0,Low,0-200,Sir John Cass School
CT3,2018,9,8,2,30,2.7,1.0,Low,0-200,Sir John Cass School
CT3,2018,9,8,6,30,12.3,48.0,Low,0-200,Sir John Cass School
CT3,2018,9,8,7,30,25.1,25.0,Low,0-200,Sir John Cass School
CT3,2018,9,8,11,0,33.7,37.0,Low,0-200,Sir John Cass School
CT3,2018,9,8,12,0,35.0,38.0,Low,0-200,Sir John Cass School
CT3,2018,9,8,19,30,12.6,7.0,Low,0-200,Sir John Cass School
